crossover_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
one_point,0,44,0.06858009740710258,0.07208895884752274,0.004204370646465358,0.0008297519087791527,0.6298214086191476,14.581277317041522,13.871557370633225
one_point,0,45,0.06803446650505066,0.07068456281423569,0.003931667787095996,0.0005456309020519245,0.6327665907692465,14.698216259394126,14.147160469359742
one_point,0,46,0.0665982081592083,0.06883901221950847,0.0011550648065033965,0.0014362583458423506,0.6405191620169486,15.01519353817926,14.526435538845117
one_point,0,47,0.06597119256854057,0.06774418436686198,0.0009172658866998352,0.0006270155906677316,0.6439036388098203,15.157901550127635,14.761196819314536
one_point,1,0,0.18350656855106354,0.2039459534923236,0.008170138756129507,0.0,0.0,5.4493665187533455,4.9032357820321115
one_point,1,1,0.1766155403852463,0.19304317201773322,0.010441518946728862,0.006891028165817242,0.03755194280089058,5.661983853939963,5.18016156379038
one_point,1,2,0.1747624934911728,0.1818223904490471,0.0043135776143264385,0.0018530468940735068,0.04764992953076541,5.722018826835305,5.499842443429922
one_point,1,3,0.17082817947864531,0.17751472870111465,0.0030331988402862177,0.003934314012527473,0.06908956541732869,5.853800873199218,5.6333036363426245
one_point,1,4,0.1664591110944748,0.1736437460780144,0.0029954504429723864,0.004369068384170505,0.09289835013096548,6.007445227718536,5.758884288677091
one_point,1,5,0.16091610658168792,0.16893176946640018,0.003060122032208997,0.0055430045127868866,0.12310437793996165,6.214379696743803,5.919514627970949
one_point,1,6,0.15882017314434052,0.16462305962642035,0.0031965748753321724,0.0020959334373474026,0.13452594967930886,6.296389708009372,6.074446239931693
one_point,1,7,0.15441632664203644,0.16025630664428075,0.0022011778556863936,0.004403846502304076,0.15852425413825055,6.47595721118885,6.239965097002882
one_point,1,8,0.1516314504146576,0.15808037579456963,0.0027168095589649886,0.0027848762273788574,0.17370014810960954,6.594894412544129,6.325855876276804
one_point,1,9,0.1471516854763031,0.1539346516132354,0.0033310255624918266,0.004479764938354475,0.1981121622065758,6.795662591975163,6.496220917767043
one_point,1,10,0.14448584991693497,0.14948989786505698,0.0024153153434283998,0.0026658355593681404,0.21263935641230436,6.921045067941455,6.689370485303285
one_point,1,11,0.13783064413070678,0.14564091621637346,0.0023917924776731014,0.006655205786228191,0.24890620963056553,7.25522797255246,6.866155197480005
one_point,1,12,0.13512709766626357,0.14195659735401472,0.003680448877360835,0.0027035464644432072,0.26363890549965585,7.400385391865563,7.04435703787092
one_point,1,13,0.13504537081718446,0.1378719164133072,0.0022312877279267317,8.172684907911676e-05,0.2640842674816515,7.404863928951666,7.253056118739519
one_point,1,14,0.13277847629785539,0.13576180168191593,0.001818560028997926,0.0022668945193290713,0.2764374738939782,7.531284411430923,7.365787886014166
one_point,1,15,0.13176765608787536,0.13361535398761432,0.0012913321345933916,0.001010820209980029,0.2819458337197942,7.589058200101159,7.484113809097768
one_point,1,16,0.13007044726610184,0.13239526564478876,0.0013682438826137426,0.001697208821773516,0.2911945970484009,7.688082365641609,7.55308312609768
one_point,1,17,0.1274905475974083,0.13165632312893868,0.001910009164685425,0.0025798996686935416,0.3052534925367967,7.84365723724518,7.5954757109913995
one_point,1,18,0.12441310834884643,0.12916345765789347,0.0022897033715445843,0.003077439248561867,0.32202367832829615,8.037673647076153,7.7420678887423655
one_point,1,19,0.12246887212991714,0.1266741262773673,0.002305005463557594,0.0019442362189292933,0.3326185918198439,8.165273488153813,7.894209616262031
one_point,1,20,0.12034514999389648,0.12409116939703622,0.002008344537652408,0.0021237221360206615,0.34419159518854725,8.309364280043162,8.058526213692607
one_point,1,21,0.11932801580429077,0.12224968251188596,0.001313375442286701,0.001017134189605709,0.34973436239103395,8.380191466927716,8.179913432407822
one_point,1,22,0.11731343054771423,0.12051531754533448,0.0018172427131277673,0.002014585256576537,0.36071263566203104,8.524100533337876,8.297631560338965
one_point,1,23,0.11173029977083207,0.11941556135813396,0.0030315950441208283,0.005583130776882161,0.39113732738269047,8.950043560318933,8.374047859249348
one_point,1,24,0.10798848110437394,0.11657922949989635,0.0034626705059537834,0.0037418186664581327,0.41152797985907263,9.260161172859794,8.577783765650324
one_point,1,25,0.10447634571790695,0.11182164459824563,0.0038009117286779363,0.003512135386466983,0.4306669971389345,9.57145296072165,8.942732517128189
one_point,1,26,0.10297170168161393,0.1072221717397372,0.0023168051064837913,0.0015046440362930236,0.4388663986544957,9.711311674544058,9.326342280074497
one_point,1,27,0.10284356778860092,0.10534756034215292,0.002607864765487011,0.00012813389301301326,0.43956465100603137,9.723410983218095,9.492298677382797
one_point,1,28,0.10151300829648971,0.103544020819664,0.0011499449712573937,0.001330559492111208,0.4468153968655234,9.850857204646301,9.657634834432253
