selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
roulette,2,7,0.19338063287897697,0.2005650601454017,0.004129244722102827,0.0023538144903725577,0.09013974195670127,5.171121916349858,4.985888436333861
roulette,2,8,0.19338063287897697,0.2005372560480802,0.004402444139358455,0.0,0.09013974195670127,5.171121916349858,4.986579716541687
roulette,2,9,0.19338063287897697,0.198037114880549,0.0020053697148449965,0.0,0.09013974195670127,5.171121916349858,5.049533018445322
roulette,2,10,0.19247197644007713,0.196353025683732,0.0020513355586383045,0.0009086564388998408,0.0944149910840919,5.195534555009759,5.0928418529636
roulette,2,11,0.19247197644007713,0.1955529754708601,0.0018946291767069977,0.0,0.0944149910840919,5.195534555009759,5.113677682042379
roulette,2,12,0.19121879705444897,0.1943074503287247,0.0017890356723138526,0.0012531793856281614,0.10031122847977658,5.22958404623374,5.1464565658788
roulette,2,13,0.19079770506123608,0.19257770577712685,0.0011973078323098262,0.0004210919932128854,0.10229247584617862,5.241125717698419,5.1926821086715025
roulette,2,14,0.190101106600091,0.1920091960378783,0.0009334184289549361,0.0006965984611450871,0.10556998738481704,5.260330976256111,5.208056762791532
roulette,3,0,0.19971643269083134,0.2361243010856529,0.018352557998874145,0.0,0.0,5.007074177385559,4.235039597206301
roulette,3,1,0.19971643269083134,0.2256176149827461,0.015493680343100252,0.0,0.0,5.007074177385559,4.432258393557082
roulette,3,2,0.19625851236320033,0.2128907104299328,0.013636328188540034,0.003457920327631009,0.017314150273172624,5.095294429089314,4.69722375747045
roulette,3,3,0.1962407900861918,0.20737758748997379,0.011839952341991776,1.7722277008525023e-05,0.01740288747306018,5.095754576845165,4.822098617333611
roulette,3,4,0.19292704425500656,0.2036821630844889,0.009559667219624021,0.0033137458311852386,0.03399514173345464,5.1832796204486975,4.909585970958211
roulette,3,5,0.19123499234329844,0.20037136418213403,0.006681661015339597,0.0016920519117081256,0.04246741358865791,5.229141166087835,4.990708195123267
