generation,best_fitness,avg_fitness,diversity,normalized_fitness,inv_best_fitness,label,run
57,0.04983056938648224,0.051643370609357954,0.0014486157607405614,0.718546034046414,20.067599963473537,traditional,0
58,0.04964279037714005,0.05112872624024749,0.001064247710180085,0.7196066510040948,20.14350621503872,traditional,0
59,0.04950592909753323,0.05180635478906335,0.0023844371280357293,0.7203796734761454,20.19919268330919,traditional,0
60,0.04881332510709763,0.05076691897511483,0.0011829347485525221,0.7242916524549821,20.48578973090421,traditional,0
61,0.047983727708458906,0.05033294874951244,0.0010173635728829404,0.7289774001971097,20.839964041803174,traditional,0
62,0.047983727708458906,0.050340285958349704,0.001633120981872609,0.7289774001971097,20.839964041803174,traditional,0
63,0.04767971807718277,0.050584692883864045,0.002540266194726113,0.7306945131553648,20.972838504262,traditional,0
64,0.04703724728524685,0.049661428387835625,0.002218862348907131,0.734323328852758,21.25929552467916,traditional,0
65,0.04659110420942307,0.048918122276663784,0.0027957076626738135,0.7368432426249534,21.462864083261426,traditional,0
66,0.04659110420942307,0.048744525538757445,0.0022009936485704036,0.7368432426249534,21.462864083261426,traditional,0
67,0.04659110420942307,0.04914873873144388,0.002547408445543606,0.7368432426249534,21.462864083261426,traditional,0
68,0.04573885422945023,0.047477797606587414,0.0010063410362323919,0.7416569371060822,21.862771905296896,traditional,0
69,0.04573885422945023,0.04778719260543585,0.001497934071501565,0.7416569371060822,21.862771905296896,traditional,0
70,0.04569596745073795,0.04765052916631103,0.0018872334596283383,0.7418991710220129,21.883290200340223,traditional,0
71,0.04549459570646286,0.04749569936655462,0.0023834133216384967,0.7430365627226301,21.98014960507365,traditional,0
72,0.04549459570646286,0.04735015059709549,0.0018679050933895825,0.7430365627226301,21.98014960507365,traditional,0
73,0.04534751564264297,0.046780026804655796,0.0019215731399278213,0.7438673031252483,22.05143841708594,traditional,0
74,0.04478877066075802,0.04667414282299578,0.001582779446376764,0.747023217116286,22.326526464582614,traditional,0
75,0.04472676008939743,0.04607089511416853,0.0014447927217749695,0.7473734664001167,22.357479963255454,traditional,0
76,0.04472676008939743,0.04576966768689454,0.0011285891405865892,0.7473734664001167,22.357479963255454,traditional,0
77,0.04458634024858475,0.04620906405448914,0.0022164765296186517,0.7481665884049803,22.42789084131882,traditional,0
78,0.04458634024858475,0.046232771068438885,0.0019074179561771216,0.7481665884049803,22.42789084131882,traditional,0
79,0.04432261599600315,0.045860173767060045,0.0018941674639538478,0.7496561607241634,22.56133615294777,traditional,0
80,0.04430495236814022,0.046093427782133226,0.002248989645146657,0.7497559287616624,22.570330769350207,traditional,0
81,0.04430495236814022,0.04603650726564228,0.002377393374140434,0.7497559287616624,22.570330769350207,traditional,0
82,0.04429294206202031,0.045764887510612605,0.002000880208257788,0.7498237656002011,22.576450716438867,traditional,0
83,0.04423381841182709,0.046265477683395145,0.0035832082962406506,0.750157708921207,22.606626090108,traditional,0
0,0.16744059038162232,0.19999737811386584,0.009112621134899211,0.0,5.972231855424109,traditional,1
1,0.16537129271030426,0.18857443898618223,0.011644395509832402,0.012358399278226462,6.046962182182352,traditional,1
2,0.1471267372369766,0.17520349578857422,0.01001693031095006,0.12131976540662792,6.796814922731489,traditional,1
3,0.14486674708127975,0.16365332546383143,0.00844510035305251,0.13481703121622646,6.902847736280031,traditional,1
4,0.1436913143992424,0.15447010604441166,0.007592144117553957,0.1418370296488548,6.959314450329936,traditional,1
5,0.13703450345993043,0.1454677981570363,0.0034483355574457153,0.18159328542972664,7.297378962032294,traditional,1
6,0.13405520576238633,0.1424879036322236,0.003925753885602047,0.19938644831068542,7.459557685621006,traditional,1
7,0.12758258301019668,0.1380350769802928,0.0041846788125606445,0.23804268296345132,7.837999030957443,traditional,1
8,0.12466577243804931,0.1333668582603335,0.00484897176649107,0.25546265601478557,8.021383568720609,traditional,1
9,0.1210181627869606,0.12882525320947172,0.0042933070184498065,0.27724715667125877,8.263154173032722,traditional,1
10,0.12012757343053818,0.12539157964140177,0.002939577489964091,0.2825659945611195,8.324414179264593,traditional,1
11,0.11013387256860734,0.12293051337003709,0.005578410641973954,0.3422510496553096,9.07977624777348,traditional,1
12,0.10267853569984436,0.11684643414467573,0.005336597346446629,0.3867763159110672,9.739038973873308,traditional,1
